

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 85.84149035779146; player life: 23.200000000000244; enemy life: 0; time: 651

RUN: run status: enemy: 5; fitness: 83.41933632855174; player life: 2.8000000000002343; enemy life: 0; time: 954

RUN: run status: enemy: 5; fitness: 74.23496102321946; player life: 0; enemy life: 10.0; time: 867

RUN: run status: enemy: 5; fitness: 83.47914532120981; player life: 1.6000000000002341; enemy life: 0; time: 797

RUN: run status: enemy: 5; fitness: 38.25594081368865; player life: 0; enemy life: 50.0; time: 849

RUN: run status: enemy: 5; fitness: 29.36931661435763; player life: 0; enemy life: 60.0; time: 758

RUN: run status: enemy: 5; fitness: 88.5664092460494; player life: 49.60000000000031; enemy life: 0; time: 598

RUN: run status: enemy: 5; fitness: 29.260663372642824; player life: 0; enemy life: 60.0; time: 845

RUN: run status: enemy: 5; fitness: 38.16589126118616; player life: 0; enemy life: 50.0; time: 929

RUN: run status: enemy: 5; fitness: 74.24889853106325; player life: 0; enemy life: 10.0; time: 855

RUN: run status: enemy: 5; fitness: 83.4561150914376; player life: 2.200000000000234; enemy life: 0; time: 866

RUN: run status: enemy: 5; fitness: 20.252413473170684; player life: 0; enemy life: 70.0; time: 852

RUN: run status: enemy: 5; fitness: 38.22921057609102; player life: 0; enemy life: 50.0; time: 872

RUN: run status: enemy: 5; fitness: 56.732244721017885; player life: 6.400000000000233; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.34455964963236; player life: 0; enemy life: 10.0; time: 777

RUN: run status: enemy: 5; fitness: 47.33814525945469; player life: 0; enemy life: 40.0; time: 782

RUN: run status: enemy: 5; fitness: 29.612244721017888; player life: 5.200000000000234; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.19317063960782; player life: 0; enemy life: 30.0; time: 904

RUN: run status: enemy: 5; fitness: 65.79224472101788; player life: 7.000000000000233; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.36012416617346; player life: 0; enemy life: 40.0; time: 765

RUN: run status: enemy: 5; fitness: 74.49224472101788; player life: 4.0000000000002345; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.24306761075245; player life: 0; enemy life: 20.0; time: 860

RUN: run status: enemy: 5; fitness: 29.301731945884587; player life: 0; enemy life: 60.0; time: 811

RUN: run status: enemy: 5; fitness: 84.49829930534797; player life: 12.40000000000023; enemy life: 0; time: 847

RUN: run status: enemy: 5; fitness: 74.13224472101788; player life: 0.40000000000023406; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.28219530497631; player life: 0; enemy life: 10.0; time: 827

RUN: run status: enemy: 5; fitness: 65.17128792835831; player life: 0; enemy life: 20.0; time: 924

RUN: run status: enemy: 5; fitness: 20.732244721017885; player life: 6.400000000000233; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 83.44235340636492; player life: 2.200000000000234; enemy life: 0; time: 878

RUN: run status: enemy: 5; fitness: 47.23265687473461; player life: 0; enemy life: 40.0; time: 869

RUN: run status: enemy: 5; fitness: 47.552244721017885; player life: 4.600000000000234; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.35204208237748; player life: 8.800000000000232; enemy life: 0; time: 684

RUN: run status: enemy: 5; fitness: 74.19760523667568; player life: 0; enemy life: 10.0; time: 900

RUN: run status: enemy: 5; fitness: 65.55224472101789; player life: 4.600000000000234; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 74.35751319863274; player life: 0; enemy life: 10.0; time: 767

RUN: run status: enemy: 5; fitness: 87.53659077784127; player life: 41.20000000000029; enemy life: 0; time: 723

RUN: run status: enemy: 5; fitness: 74.55224472101789; player life: 4.600000000000234; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.21441235499207; player life: 0; enemy life: 40.0; time: 885

RUN: run status: enemy: 5; fitness: 86.45074968320426; player life: 29.20000000000026; enemy life: 0; time: 645

RUN: run status: enemy: 5; fitness: 56.230358023147495; player life: 0; enemy life: 30.0; time: 871

RUN: run status: enemy: 5; fitness: 74.49224472101788; player life: 4.0000000000002345; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 29.365366642138312; player life: 0; enemy life: 60.0; time: 761

RUN: run status: enemy: 5; fitness: 65.26303304199814; player life: 0; enemy life: 20.0; time: 843

RUN: run status: enemy: 5; fitness: 20.238427231195946; player life: 0; enemy life: 70.0; time: 864

RUN: run status: enemy: 5; fitness: 65.29436090514; player life: 0; enemy life: 20.0; time: 817

RUN: run status: enemy: 5; fitness: 47.20094413794121; player life: 0; enemy life: 40.0; time: 897

RUN: run status: enemy: 5; fitness: 74.23496102321946; player life: 0; enemy life: 10.0; time: 867

RUN: run status: enemy: 5; fitness: 29.358817830259408; player life: 0; enemy life: 60.0; time: 766

RUN: run status: enemy: 5; fitness: 56.14459120139007; player life: 0; enemy life: 30.0; time: 949

RUN: run status: enemy: 5; fitness: 38.36274196871554; player life: 0; enemy life: 50.0; time: 763

RUN: run status: enemy: 5; fitness: 56.397412107810666; player life: 0; enemy life: 30.0; time: 737

RUN: run status: enemy: 5; fitness: 65.15412012473595; player life: 0; enemy life: 20.0; time: 940

RUN: run status: enemy: 5; fitness: 83.50532996056654; player life: 4.0000000000002345; enemy life: 0; time: 987

RUN: run status: enemy: 5; fitness: 83.413282250751; player life: 0.40000000000023406; enemy life: 0; time: 755

RUN: run status: enemy: 5; fitness: 85.02296575233355; player life: 17.20000000000023; enemy life: 0; time: 810

RUN: run status: enemy: 5; fitness: 65.24656208140222; player life: 0; enemy life: 20.0; time: 857

RUN: run status: enemy: 5; fitness: 47.406955465857564; player life: 0; enemy life: 40.0; time: 730

RUN: run status: enemy: 5; fitness: 29.47643769385049; player life: 0; enemy life: 60.0; time: 681

RUN: run status: enemy: 5; fitness: 65.37224472101789; player life: 2.8000000000002343; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 83.4515067883514; player life: 2.200000000000234; enemy life: 0; time: 870

RUN: run status: enemy: 5; fitness: 47.10229505687136; player life: 0; enemy life: 40.0; time: 990

RUN: run status: enemy: 5; fitness: 29.244231078015744; player life: 0; enemy life: 60.0; time: 859

RUN: run status: enemy: 5; fitness: 91.056954104517; player life: 68.8000000000003; enemy life: 0; time: 338

RUN: run status: enemy: 5; fitness: 38.25006880621143; player life: 0; enemy life: 50.0; time: 854

RUN: run status: enemy: 5; fitness: 38.13098554933429; player life: 0; enemy life: 50.0; time: 962

RUN: run status: enemy: 5; fitness: 74.14670090681392; player life: 0; enemy life: 10.0; time: 947

RUN: run status: enemy: 5; fitness: 57.632244721017884; player life: 15.400000000000228; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.24539590051204; player life: 0; enemy life: 20.0; time: 858

RUN: run status: enemy: 5; fitness: 85.0279982226044; player life: 16.60000000000023; enemy life: 0; time: 759

RUN: run status: enemy: 5; fitness: 20.176713877644314; player life: 0; enemy life: 70.0; time: 919

RUN: run status: enemy: 5; fitness: 38.31413905293164; player life: 0; enemy life: 50.0; time: 801

RUN: run status: enemy: 5; fitness: 87.73818398259394; player life: 41.20000000000029; enemy life: 0; time: 591

RUN: run status: enemy: 5; fitness: 56.14353801540541; player life: 0; enemy life: 30.0; time: 950

RUN: run status: enemy: 5; fitness: 84.1328913921335; player life: 8.200000000000232; enemy life: 0; time: 802

